model,samples,exact_match,wer_vs_reference,cer_vs_reference,wer_vs_original,cer_vs_original,changed_input_rate,avg_latency_seconds,task,gleu_vs_reference,accuracy,macro_f1,target_lang,bleu,chrf,tokens,entity_f1,rouge_1,rouge_2,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1
llama3.1:8b-instruct,100,0.15,10.291666666666666,4.583602324080052,11.36173767752715,4.716676358467403,0.99,0.8107552596181631,gec,,,,,,,,,,,,,,
gemma2:9b,100,0.17,11.416666666666666,5.183989670755326,13.032581453634084,5.543710021321962,0.99,1.0888694670260883,gec,,,,,,,,,,,,,,
qwen2.5:7b-instruct,100,0.09,12.708333333333334,6.4686894770819885,12.030075187969924,6.112295664534471,0.95,1.5877069607633163,gec,,,,,,,,,,,,,,
aya-expanse:8b,100,0.08,22.45833333333333,13.008392511297613,24.51963241436925,13.46514182335078,1.0,0.7755243062134832,gec,,,,,,,,,,,,,,
falcon3:7b-instruct,100,0.0,30.125,21.59457714654616,27.94486215538847,21.1475092072107,0.91,1.8393554207263516,gec,,,,,,,,,,,,,,
gemma2:9b,100,,,,,,,0.3028214442613535,intent_classification,,0.85,0.8470143871701158,,,,,,,,,,,
qwen2.5:7b-instruct,100,,,,,,,0.2163349648029543,intent_classification,,0.78,0.5831717781662165,,,,,,,,,,,
llama3.1:8b-instruct,100,,,,,,,0.2451733903121203,intent_classification,,0.72,0.7009348586383469,,,,,,,,,,,
aya-expanse:8b,100,,,,,,,0.3052437509316951,intent_classification,,0.71,0.6354981991685286,,,,,,,,,,,
falcon3:7b-instruct,100,,,,,,,0.2042369671794585,intent_classification,,0.58,0.5776400286204207,,,,,,,,,,,
falcon3:7b-instruct,100,,,,,,,0.7282163700135424,legal_classification,,0.06,0.0101282051282051,,,,,,,,,,,
qwen2.5:7b-instruct,100,,,,,,,1.1820788253075445,legal_classification,,0.02,0.0068592533966495,,,,,,,,,,,
aya-expanse:8b,100,,,,,,,0.6859502804884687,legal_classification,,0.01,0.0081632653061224,,,,,,,,,,,
llama3.1:8b-instruct,100,,,,,,,0.691215700423345,legal_classification,,0.01,0.0069444444444444,,,,,,,,,,,
gemma2:9b,100,,,,,,,0.9612989127449691,legal_classification,,0.01,0.0042553191489361,,,,,,,,,,,
aya-expanse:8b,87,,54.68785306069433,38.79430219602396,,,,0.5791006462418357,machine_translation,,,,eng,,,,,,,,,,
qwen2.5:7b-instruct,87,,58.65559441550345,43.49477604145272,,,,0.4708300018201357,machine_translation,,,,eng,,,,,,,,,,
gemma2:9b,87,,62.967283972770375,43.33904831989743,,,,0.621405662259558,machine_translation,,,,eng,,,,,,,,,,
falcon3:7b-instruct,87,,90.8891144481186,69.52941678970454,,,,0.4787227385168917,machine_translation,,,,eng,,,,,,,,,,
llama3.1:8b-instruct,87,,91.3957455854844,64.71796831415912,,,,0.4819377470204884,machine_translation,,,,eng,,,,,,,,,,
qwen2.5:7b-instruct,4,,104.76979916635088,90.98444912178464,,,,0.8844028153689578,machine_translation,,,,fas,,,,,,,,,,
aya-expanse:8b,4,,111.12637362637363,101.73481717478428,,,,0.526779216947034,machine_translation,,,,fas,,,,,,,,,,
gemma2:9b,4,,112.91208791208793,109.29434144072302,,,,0.5632559265359305,machine_translation,,,,fas,,,,,,,,,,
falcon3:7b-instruct,4,,117.68136078480906,111.406550321024,,,,0.4421462137834169,machine_translation,,,,fas,,,,,,,,,,
llama3.1:8b-instruct,4,,159.93589743589743,159.8809770273586,,,,0.4466401160461828,machine_translation,,,,fas,,,,,,,,,,
aya-expanse:8b,9,,133.33333333333334,212.94474531071583,,,,0.6264605577000313,machine_translation,,,,jpn,,,,,,,,,,
gemma2:9b,9,,144.44444444444446,148.56864172587223,,,,0.5955145094388475,machine_translation,,,,jpn,,,,,,,,,,
falcon3:7b-instruct,9,,155.55555555555554,229.04515302643236,,,,0.8576046239015542,machine_translation,,,,jpn,,,,,,,,,,
qwen2.5:7b-instruct,9,,255.55555555555557,250.1882522232599,,,,0.547680103401136,machine_translation,,,,jpn,,,,,,,,,,
llama3.1:8b-instruct,9,,511.1111111111111,434.4748104591047,,,,0.6328504387703207,machine_translation,,,,jpn,,,,,,,,,,
gemma2:9b,100,,,,,,,1.6565384734398685,ner,,0.7967806841046278,0.1089096757380743,,,,2982.0,,,,,,,
llama3.1:8b-instruct,100,,,,,,,1.0877542599849404,ner,,0.8158953722334004,0.0991758397798908,,,,2982.0,,,,,,,
falcon3:7b-instruct,100,,,,,,,1.5652005335595458,ner,,0.8061703554661301,0.0936613132499052,,,,2982.0,,,,,,,
qwen2.5:7b-instruct,100,,,,,,,1.4376916960300878,ner,,0.6938296445338699,0.0906179143206064,,,,2982.0,,,,,,,
aya-expanse:8b,100,,,,,,,1.3204072235221975,ner,,0.7424547283702213,0.0728988210159282,,,,2982.0,,,,,,,
gemma2:9b,100,,,,,,,1.2990952792088502,pos,,0.5898230088495575,0.469192161939368,,,,2260.0,,,,,,,
falcon3:7b-instruct,100,,,,,,,1.2560761601198465,pos,,0.4805309734513274,0.3530651796261314,,,,2260.0,,,,,,,
qwen2.5:7b-instruct,100,,,,,,,1.043718259788584,pos,,0.3805309734513274,0.324452592213671,,,,2260.0,,,,,,,
llama3.1:8b-instruct,100,,,,,,,1.1340489560342393,pos,,0.3765486725663717,0.2885778403909901,,,,2260.0,,,,,,,
aya-expanse:8b,100,,,,,,,0.9806363653950392,pos,,0.2327433628318584,0.177752152731678,,,,2260.0,,,,,,,
llama3.1:8b-instruct,100,,189.0613331180388,143.03134722832755,,,,3.80750177557813,summarization,,,,,,,,,,,,,,
aya-expanse:8b,100,,243.16152269465397,190.9488020810996,,,,3.68814569687238,summarization,,,,,,,,,,,,,,
falcon3:7b-instruct,100,,327.5376502688857,257.9313469852699,,,,3.846800343084615,summarization,,,,,,,,,,,,,,
gemma2:9b,100,,382.6106536762448,300.8246285670096,,,,5.419603800382465,summarization,,,,,,,,,,,,,,
qwen2.5:7b-instruct,100,,428.3525180518102,319.7216996508312,,,,4.375187614061869,summarization,,,,,,,,,,,,,,
